"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SERINC2","OK",5.01184294437715e-109,22.1517984191011,0.139309706132955,"SERINC2",1.7108744657053e-107
"TINAGL1","OK",0.569767830728709,-0.175783110940367,-0.00128962523345948,"TINAGL1",0.749795867700198
"PEF1","OK",0.160033858235563,0.994318737054906,0.00614893268005801,"PEF1",0.367353353145521
"COL16A1","OK",4.38959166932461e-86,19.6287833247598,0.120885452485356,"COL16A1",1.25492820543096e-84
"ADGRB2","OK",0.726546046863478,-0.602400005617995,-0.0039774607746845,"ADGRB2",0.80655079540727
"SPOCD1","OK",0.60574132093047,-0.268236399977036,-0.000302293003022933,"SPOCD1",0.750925832843588
"AL354919.1","OK",0.529866977219795,-0.074935481743386,-0.000610605893003409,"AL354919.1",0.749795867700198
"AL136115.2","OK",0.783985439017154,-0.78572413252468,-0.00521046909386682,"AL136115.2",0.842483791498362
"PTP4A2","OK",0.359372958003834,0.360135353238511,0.00204875939101606,"PTP4A2",0.641593871481782
"AL136115.1","OK",0.549042555266951,-0.123242730437287,-0.000930999567866793,"AL136115.1",0.749795867700198
"KHDRBS1","OK",0.00656503515091206,2.48022173580801,0.0157619248927583,"KHDRBS1",0.0261312955360362
"TMEM39B","OK",0.734293556583502,-0.625850679668192,-0.00431651338752993,"TMEM39B",0.810958276850546
"KPNA6","OK",0.0349403338598032,1.81268339038533,0.0114395327811164,"KPNA6",0.109895350375688
"TXLNA","OK",0.195078799012984,0.859331594269326,0.00527459544202011,"TXLNA",0.421839089114116
"CCDC28B","OK",0.0598075078402031,1.55639154001802,0.0097685761562911,"CCDC28B",0.170679957904264
"IQCC","OK",0.803005650760182,-0.852406167037687,-0.00561053543770933,"IQCC",0.852618397139891
"DCDC2B","FAIL",NA,NA,NA,"DCDC2B",1
"TMEM234","OK",0.549101485255105,-0.12339157345705,-0.00107621735150306,"TMEM234",0.749795867700198
"EIF3I","OK",5.16410239936327e-09,5.72524915604825,0.0367518920530386,"EIF3I",4.29031138615052e-08
"FAM167B","OK",0.108148987750139,1.23643213997312,0.00723895634017705,"FAM167B",0.272352514280595
"LCK","OK",4.59323742081815e-17,8.31485470202353,0.0534970946032419,"LCK",5.38658638758395e-16
"HDAC1","OK",0.115047711306096,1.20011308950938,0.00748068844098258,"HDAC1",0.286356843084867
"MARCKSL1","OK",1.20674472258998e-07,5.16429334940743,0.0330911621386973,"MARCKSL1",9.10817525075688e-07
"TSSK3","OK",0.540134809970473,-0.100773353379557,-0.000806561162824858,"TSSK3",0.749795867700198
"FAM229A","OK",0.783351014163933,-0.783560617980458,-0.00520981478401868,"FAM229A",0.842169512514627
"BSDC1","OK",0.0978553636554856,1.29386884562353,0.00808346683731621,"BSDC1",0.252269869008063
"ZBTB8B","FAIL",NA,NA,NA,"ZBTB8B",1
"ZBTB8A","OK",0.373814145783468,0.321768220163702,0.0017233214431447,"ZBTB8A",0.659885458514074
"ZBTB8OS","OK",0.922701885734037,-1.4234828558991,-0.00948773226353089,"ZBTB8OS",0.936776078219615
"RBBP4","OK",0.581522331451896,-0.205789508130194,-0.00161170497997877,"RBBP4",0.749795867700198
"SYNC","OK",0.268146635311837,0.618427961727755,0.00371397756008472,"SYNC",0.52589076747904
"KIAA1522","OK",0.900521854641821,-1.28453080915003,-0.0084214665300617,"KIAA1522",0.920655690438285
"YARS","OK",0.00456521531025799,2.60713143263691,0.0165761218641566,"YARS",0.0189115241575212
"S100PBP","OK",0.0253029440479288,1.95480671670456,0.0123588242865794,"S100PBP",0.083997198621653
"FNDC5","FAIL",NA,NA,NA,"FNDC5",1
"HPCA","OK",0.513615618878991,-0.0341359236450969,-0.000409420857839804,"HPCA",0.749795867700198
"TMEM54","OK",6.7645641546553e-213,31.118520378392,0.196303541782622,"TMEM54",4.1352596263157e-211
"RNF19B","OK",0.446477316113625,0.134566496886783,0.000588021092219593,"RNF19B",0.737526106983785
"AK2","OK",0.0346738485403549,1.81614783825258,0.0114619194287456,"AK2",0.109216604236649
"AZIN2","OK",0.053099769836939,1.61551349789094,0.0100368927497921,"AZIN2",0.155000575522987
"TRIM62","OK",0.148619169797736,1.04237394900648,0.00641099470894597,"TRIM62",0.347066630742775
"AL662907.3","OK",0.652332342681353,-0.391624998007114,-0.0026232059656889,"AL662907.3",0.768664200648247
"ZNF362","OK",0.5942352995744,-0.238453469033452,-0.00181637349133804,"ZNF362",0.750148090902394
"AL513327.3","FAIL",NA,NA,NA,"AL513327.3",1
"A3GALT2","FAIL",NA,NA,NA,"A3GALT2",1
"PHC2","OK",0.165450504769304,0.972300631973198,0.00600219473540438,"PHC2",0.375635618558939
"ZSCAN20","OK",0.642416047848887,-0.36492431376753,-0.00247642008924941,"ZSCAN20",0.764798059831707
"CSMD2","OK",9.55508977858026e-218,31.4749849177632,0.175037002014284,"CSMD2",5.90394955888692e-216
"SMIM12","OK",7.5545073402653e-05,3.78927078959794,0.0242216570030659,"SMIM12",0.000431661093930506
"GJB5","FAIL",NA,NA,NA,"GJB5",1
"GJB4","FAIL",NA,NA,NA,"GJB4",1
"GJB3","OK",0.0381003000035996,1.77316964704263,-0.000138273244680545,"GJB3",0.118152738219474
"GJA4","FAIL",NA,NA,NA,"GJA4",1
"DLGAP3","OK",0.393457722057407,0.270318226897475,0.00143485981551479,"DLGAP3",0.680869069518936
"AC114490.2","OK",0.616391504434683,-0.296017140957187,-0.00217938517667913,"AC114490.2",0.754739196317175
"TMEM35B","OK",0.520706453458076,-0.0519267079855318,-0.000518370332600883,"TMEM35B",0.749795867700198
"ZMYM6","OK",0.789255773359412,-0.803841613672676,-0.00546449781624684,"ZMYM6",0.844777118896244
"ZMYM1","OK",0.266109233976029,0.624623080220387,0.00374638999945578,"ZMYM1",0.523264182104797
"AL590434.1","OK",0.943650366662556,-1.58617654580022,-0.000408184834069177,"AL590434.1",0.952992892261031
"SFPQ","OK",1.54041427877991e-05,4.1674079500607,0.0266758274104476,"SFPQ",9.59017759186958e-05
"ZMYM4","OK",0.0697142478199984,1.47792260285089,0.00926385010218774,"ZMYM4",0.193402626032982
"KIAA0319L","OK",0.00697348143494783,2.45862650804648,0.0156085058829724,"KIAA0319L",0.0275471692156429
"NCDN","OK",0.171466414966878,0.948386302643071,0.00583515574273544,"NCDN",0.385385857576794
"TFAP2E","OK",0.724099217793346,-0.595062693962626,-0.00395762788292138,"TFAP2E",0.805494380560076
