"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"GAS6","OK",0,64.117718709891,0.230720068310438,"GAS6",0
"GAS6-AS2","OK",0.626610238527084,-0.322888715171766,-0.00124860423686146,"GAS6-AS2",0.643158158596104
"BX072579.1","FAIL",NA,NA,NA,"BX072579.1",1
"LINC00452","FAIL",NA,NA,NA,"LINC00452",1
"LINC00565","OK",0.574814635995719,-0.188645424935512,-0.000719768390707699,"LINC00565",0.605734945209104
"FP565324.1","OK",0.561121626680912,-0.153813553790392,-0.000549923157909902,"FP565324.1",0.599032385765932
"RASA3","OK",1.22585069094497e-60,16.3849004258119,0.0588480756991982,"RASA3",3.70018373801715e-60
"AL160396.2","FAIL",NA,NA,NA,"AL160396.2",1
"CDC16","OK",4.07383770113061e-08,5.36382742066586,0.0191983996637119,"CDC16",6.67103147433713e-08
"UPF3A","OK",1.9980244612955e-27,10.7862881890407,0.0387315874393309,"UPF3A",4.54280173747947e-27
"CHAMP1","OK",3.55329208746924e-12,6.85549533392892,0.0245612461757912,"CHAMP1",6.41844205317787e-12
"OR11G2","OK",0.560540298801163,-0.152339207842276,-0.000592210619344793,"OR11G2",0.598859265028812
"TTC5","OK",0.000214162313486205,3.52198732184481,0.0125661814731727,"TTC5",0.000311161357792126
"AL356019.2","OK",0.837940508684659,-0.986028795520168,-0.00359068963008691,"AL356019.2",0.839043229402673
"CCNB1IP1","OK",7.08721591690065e-166,27.4240459757978,0.0986296124927257,"CCNB1IP1",3.38744606146522e-165
"PARP2","OK",3.05824166926991e-43,13.73674451835,0.0493014165927525,"PARP2",8.12860337809575e-43
"TEP1","OK",3.92772572822126e-07,4.93892475447909,0.0176564155601796,"TEP1",6.24917147188363e-07
"KLHL33","OK",5.67368011878292e-37,12.6488851229733,0.0440451398818057,"KLHL33",1.42638726381856e-36
"OSGEP","OK",9.67171014266429e-15,7.65491894868318,0.0274495518472177,"OSGEP",1.83201303860903e-14
"APEX1","OK",4.29757035527283e-290,36.3807063125299,0.130909161653183,"APEX1",2.85011177802087e-289
"PIP4P1","OK",8.65607232601729e-15,7.66916364730287,0.0274990248277333,"PIP4P1",1.64088806847068e-14
"PNP","OK",3.31099605936614e-55,15.6060417621705,0.0560798220491721,"PNP",9.63256397682946e-55
"AL355075.3","FAIL",NA,NA,NA,"AL355075.3",1
"RNASE4","OK",2.46676352311529e-46,14.2433080201797,0.0509258966975933,"RNASE4",6.72732048218773e-46
"ANG","OK",0,40.2208776614647,0.144576478148155,"ANG",0
"RNASE6","OK",0,97.1194922695558,0.349333743377986,"RNASE6",0
"RNASE1","OK",0,79.6093850323715,0.286489844282097,"RNASE1",0
"RNASE3","OK",0.538027328626391,-0.0954651844040025,-0.000378081889292347,"RNASE3",0.594145667571509
"AL355922.1","OK",1.98170081788047e-111,22.3996884379491,0.0520778698304856,"AL355922.1",7.79248405488557e-111
"RNASE2","OK",2.46578839882087e-185,29.0099282733978,0.103115074538498,"RNASE2",1.25271422429053e-184
"METTL17","OK",1.95509131637735e-05,4.11272370374103,0.0146947638581732,"METTL17",2.94978428248117e-05
"NDRG2","OK",2.94147494941471e-65,17.0195414875366,0.0610077375676247,"NDRG2",9.12946327647806e-65
"RNASE13","FAIL",NA,NA,NA,"RNASE13",1
"ARHGEF40","OK",1.05560077624484e-159,26.9014655124453,0.0965803851354416,"ARHGEF40",4.93336880615441e-159
"ZNF219","OK",2.03462735792589e-44,13.9316361663707,0.049948164413682,"ZNF219",5.45111498129034e-44
"TMEM253","OK",0.567939902694613,-0.171131720247267,-0.00052980876942951,"TMEM253",0.601949508193603
"OR5AU1","FAIL",NA,NA,NA,"OR5AU1",1
"HNRNPC","OK",0,42.89565496684,0.154383914627451,"HNRNPC",0
"RPGRIP1","OK",0.00376063467265666,2.67283741475544,0.00859201119446071,"RPGRIP1",0.00517757921422275
"SUPT16H","OK",9.62668773852478e-101,21.2752379809963,0.0765077497303484,"SUPT16H",3.60486018419905e-100
"CHD8","OK",4.97130182697259e-19,8.83575323163682,0.03170430047307,"CHD8",1.01107498759123e-18
"RAB2B","OK",1.40498694971402e-06,4.6842423425921,0.0167483940724544,"RAB2B",2.19930818374682e-06
"TOX4","OK",9.4829296673189e-35,12.240159912321,0.0439687948498198,"TOX4",2.33683106139225e-34
"METTL3","OK",1.61724479252034e-05,4.15629582845834,0.0148467138625251,"METTL3",2.44807971003365e-05
