	log2FoldChange	fdr
DACT3	-3.6924909650256	0.127836046579326
CACHD1	-3.6924909650256	1
CAV2	-3.6924909650256	1
NUAK1	-3.6924909650256	1
FRY	-3.6924909650256	0.303228174690741
LRRC17	-3.6924909650256	0.671697797270082
SLIT3	-3.6924909650256	1
TRIM29	-3.6924909650256	0.041000448923195
LAMA1	-3.6924909650256	1
LAMP5	-3.6924909650256	0.01516726726068
MIR99AHG	-3.6924909650256	1.02712021683868E-05
AC009021.1	-3.6924909650256	1
FRK	-3.6924909650256	1.89889789182517E-06
GLT8D2	-3.6924909650256	0.113367208596593
PCDH17	-3.6924909650256	0.919127155228831
RGS17	-3.6924909650256	1
ROBO1	-3.6924909650256	1
ZDHHC15	-3.6924909650256	1
GREB1	-3.6924909650256	1
BNC2	-3.6924909650256	1
KCTD12	-3.60502812377526	1
MN1	-3.56696008294174	0.213049943504614
AKAP12	-3.52256596358329	0.617997886171138
ATP1B2	-3.42945655919181	0.166335273571658
PDE5A	-3.42945655919181	0.000393277029196
TMEM88	-3.42945655919181	1
FAM198B	-3.42945655919181	0.794808516903441
BGN	-3.37056287013824	1
NLGN4X	-3.37056287013824	0.000425979794376
MGP	-3.35807192595504	1
MYLK	-3.34456766160529	0.19339643786826
LIFR	-3.27745346574675	1
KIRREL1	-3.27745346574675	1
APBB2	-3.27745346574675	1
WNT5A	-3.27745346574675	1
CDH23	-3.27745346574675	1
FGFBP2	-3.25639185021892	1
ARRDC4	-3.20706413785535	1
SPARCL1	-3.10752846430444	0.915466569957812
SPDYA	-3.10752846430444	1
CERCAM	-3.10752846430444	1
LINC00384	-3.10752846430444	1
HIST2H3D	-3.10752846430444	1
CRISPLD2	-3.10752846430444	0.201172789513695
MXRA8	-3.10752846430444	0.147867303914773
AC007881.3	-3.10752846430444	1
TMEM200B	-3.10752846430444	0.734636150320882
MYO1B	-3.10752846430444	0.69550237818635
RAB7B	-3.10752846430444	1
ANKRD50	-3.10752846430444	0.003983448983396
EML5	-3.10752846430444	0.145997926453701
AC016588.2	-3.10752846430444	1
C6orf163	-3.10752846430444	0.555856017665876
MATN3	-3.10752846430444	1
JAM2	-3.10752846430444	1
SDC2	-3.10752846430444	1
AFF2	-3.10752846430444	0.080869218724059
CAV1	-3.06445974241256	1
MUC12	-3.05506104441031	1
IQCK	-3.04041426844591	1
CRNDE	-3.01441905991296	1
ZNF521	-3.01441905991296	1
BCO2	-2.95552537085939	1
ABCB9	-2.95552537085939	1
ZNF704	-2.95552537085939	1
IGFBP7	-2.94964880452273	0.026204992047068
ADGRL2	-2.885136042968	1
CLMP	-2.86241596646791	1
LINC00205	-2.81802184710946	1
NDRG2	-2.81802184710946	1
AL109811.4	-2.79202663857652	1
CAVIN3	-2.78560036941709	1
CEP126	-2.75389150968974	1
COL6A1	-2.74311703809557	1
OGN	-2.6924909650256	1
ARHGAP29	-2.6924909650256	1
DNMBP	-2.6924909650256	1
DPYSL3	-2.6924909650256	1
PC	-2.6924909650256	1
