	log2FoldChange	fdr
ARHGDIA	-1.30387160085139	1
RPL7L1	-1.30023302378804	1
CD164	-1.29475789372189	1
NRBP1	-1.29475789372189	1
PSMC4	-1.29475789372189	1
FRG1	-1.29475789372189	1
CXCR6	-1.29146281416031	1
ARPC1B	-1.28926190596704	1
NDUFS7	-1.28926190596704	1
S100A11	-1.28826038212197	1
ZNRD1	-1.28374490099947	1
CD63	-1.28190120101579	1
ATF7IP	-1.27820671745805	1
ADH5	-1.27820671745805	1
HLA-DQA1	-1.27264719211614	1
LGALS3	-1.27264719211614	1
NDUFB5	-1.27264719211614	1
RNH1	-1.27264719211614	1
IFIT1	-1.27153271153473	1
REST	-1.26706615985285	1
MIS18BP1	-1.26706615985285	1
TRAC	-1.26473434256666	1
SYNCRIP	-1.26146345362347	1
BANF1	-1.26146345362347	1
ATP5B	-1.25865392003664	1
UBALD2	-1.25583890442959	1
ZMAT2	-1.25583890442959	1
SMARCA2	-1.25583890442959	1
CNN2	-1.25583890442959	1
IGLC2	-1.2526150035553	1
COMMD7	-1.25207698563339	1
FXR1	-1.25019234128845	1
CAPZA2	-1.25019234128845	1
IFITM1	-1.24641565054296	1
ARF1	-1.2388324791239	1
SNRPN	-1.2388324791239	1
NEMF	-1.2388324791239	1
CPNE1	-1.2388324791239	1
MTPN	-1.23311882792951	1
MEAF6	-1.23311882792951	1
STOM	-1.23311882792951	1
MORF4L1	-1.22738245838036	1
RNASEH2C	-1.22162318909168	1
NOP58	-1.22162318909168	1
CD3E	-1.21648446579271	1
FAM173A	-1.21584083649767	1
ATF4	-1.21584083649767	1
NUCB1	-1.21584083649767	1
STAU1	-1.21584083649767	1
DENND2D	-1.21584083649767	1
COX7A2	-1.21003521481647	1
ACTR3	-1.21003521481647	1
NDUFB3	-1.21003521481647	1
MRPS12	-1.21003521481647	1
POLR2J	-1.21003521481647	1
SPPL2A	-1.21003521481647	1
ISG15	-1.20601768217039	1
GLRX	-1.20420613601427	1
CARHSP1	-1.20420613601427	1
C8orf59	-1.20225786422474	1
NDUFB11	-1.2012827408075	1
HLA-B	-1.20005503572693	1
GNG2	-1.19835340976883	1
TMEM230	-1.19835340976883	1
IPCEF1	-1.19835340976883	1
ATP6V1F	-1.19443835976545	1
EIF4E2	-1.19247684343216	1
UQCRFS1	-1.19247684343216	1
HNRNPDL	-1.18952955938182	1
RTN4	-1.18657624199248	1
IDI1	-1.18657624199248	1
HLA-DRB1	-1.18312304653761	1
TNFAIP8	-1.18262905747582	1
PTGES3	-1.18183832298581	1
MX1	-1.18183832298581	1
SLC38A2	-1.18065140803537	1
CASP3	-1.18065140803537	1
GALNT2	-1.18065140803537	1
GBP3	-1.17470214170419	1
TRAM1	-1.17470214170419	1
IMP3	-1.16872824065955	1
TUBB	-1.16872824065955	1
