"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"MLKL","OK",0.0569922401336686,1.58053464096187,0.00923694693695264,"MLKL",0.187587180327511
"FA2H","OK",0.514217844357069,-0.0356463983404599,-0.000394405041980058,"FA2H",0.764040682511283
"WDR59","OK",0.631526122148032,-0.335898039237734,-0.00226388385990127,"WDR59",0.768540877014065
"ZNRF1","OK",1.96481845970917e-29,11.2032682079261,0.0670436420670553,"ZNRF1",5.18006421922995e-28
"LDHD","OK",NA,NA,-0.000321991331635913,"LDHD",NA
"ZFP1","OK",0.595118871491354,-0.240732746689928,-0.00168588622173149,"ZFP1",0.764040682511283
"CTRB2","FAIL",NA,NA,NA,"CTRB2",1
"BCAR1","OK",0.713888675837686,-0.564781122879628,-0.00350161089279999,"BCAR1",0.798124946166724
"CFDP1","OK",0.286652066120341,0.563192025853459,0.00313368286045576,"CFDP1",0.591146006974719
"AC009163.7","OK",0.791328331614153,-0.811038891544975,-0.00497854355871311,"AC009163.7",0.844016748255218
"TMEM170A","OK",0.115998418542178,1.19523087904952,0.00692894957185016,"TMEM170A",0.319120283983233
"CHST6","OK",0.529237684318277,-0.0733537364081437,-0.000604058154773966,"CHST6",0.764040682511283
"AC009163.6","FAIL",NA,NA,NA,"AC009163.6",1
"CHST5","FAIL",NA,NA,NA,"CHST5",1
"TMEM231","OK",0.333442176307936,0.43042797028746,0.00223222682737967,"TMEM231",0.65249145848079
"AC025287.2","FAIL",NA,NA,NA,"AC025287.2",1
"GABARAPL2","OK",0.189891021107577,0.878297960704274,0.00502710238983547,"GABARAPL2",0.449603855120258
"ADAT1","OK",0.216499599582418,0.784069724316659,0.00445113958409796,"ADAT1",0.490464763889783
"KARS","OK",0.19353316195295,0.86494983365426,0.00494553348220922,"KARS",0.454788721106176
"TERF2IP","OK",4.35841579488537e-05,3.92378560395298,0.023321963085235,"TERF2IP",0.000332448655698525
"AC025287.4","FAIL",NA,NA,NA,"AC025287.4",1
"MON1B","OK",0.480802239376078,0.0481402371532608,3.98307262851602e-05,"MON1B",0.764040682511283
"SYCE1L","OK",0.721388835709437,-0.586972273069331,-0.00374683044068598,"SYCE1L",0.801569141952398
"ADAMTS18","FAIL",NA,NA,NA,"ADAMTS18",1
"NUDT7","OK",0.505854998499605,-0.0146768316912312,-0.000336895430296313,"NUDT7",0.764040682511283
"WWOX","OK",0.610487743525648,-0.280590487466414,-0.00192595153434211,"WWOX",0.765308169851483
"AC092376.1","FAIL",NA,NA,NA,"AC092376.1",1
"MAF","OK",0,39.5444630371514,0.237292897378699,"MAF",0
"AC009159.2","OK",0.524534744355765,-0.0615383024020453,-0.000509916409430429,"AC009159.2",0.764040682511283
"AC009159.3","OK",0.280322400243296,0.581884026613646,0.00312664734440253,"AC009159.3",0.582597320921229
"AC009159.1","OK",0.55027676108196,-0.126360613790244,-0.000864924550720106,"AC009159.1",0.764040682511283
"LINC01229","OK",7.975235295745e-08,5.24123582880882,0.03095341552599,"LINC01229",8.49718311836267e-07
"MAFTRR","OK",0.00172602957103078,2.9243233831278,0.0169485221787311,"MAFTRR",0.00964443129371704
"DYNLRB2","OK",0.623434295709999,-0.314513047272664,-0.00202549436926767,"DYNLRB2",0.766277808812524
"CDYL2","OK",0.765161482165149,-0.723004636508381,-0.00457754878051036,"CDYL2",0.826295917341851
"LINC02170","OK",NA,NA,-0.000251894277827687,"LINC02170",NA
"CMC2","OK",0.0148830593336741,2.17318868999955,0.0128051111319351,"CMC2",0.0632431222827368
"CENPN","OK",0.294802665234162,0.539408045976059,0.00296574908140504,"CENPN",0.601514216983527
"AC092718.8","FAIL",NA,NA,NA,"AC092718.8",1
"ATMIN","OK",0.188497220164652,0.883447677639365,0.00505257106047962,"ATMIN",0.447602133176847
"C16orf46","OK",0.0742593434787649,1.44478357177059,0.00772322364601649,"C16orf46",0.229504108476376
"AC092718.3","OK",NA,NA,-0.000280875381644854,"AC092718.3",NA
"AC092718.1","OK",0.000421268897039998,3.33842827322179,0.0178757091192598,"AC092718.1",0.00268108658223003
"GCSH","OK",0.00728597306009965,2.44284619249971,0.0144025298295496,"GCSH",0.0342329497594758
"BCO1","OK",0.522590634395357,-0.0566566193600367,-0.000489727545606284,"BCO1",0.764040682511283
"GAN","OK",0.0767965702284463,1.42695404761594,0.00829461827212886,"GAN",0.234985757813733
"CMIP","OK",1.5320693380158e-14,7.59558126374773,0.0453660374873852,"CMIP",2.54069488251471e-13
"AC099524.1","OK",0.516375622440973,-0.0410591319138804,-0.00040264189231893,"AC099524.1",0.764040682511283
"PLCG2","OK",2.2773581073405e-05,4.07737418176904,0.0241687414528339,"PLCG2",0.000181135993000845
"SDR42E1","OK",0.335541610558898,0.42466181870516,0.00227356681636977,"SDR42E1",0.655157685916795
"HSD17B2","FAIL",NA,NA,NA,"HSD17B2",1
"MPHOSPH6","OK",3.63291448622934e-05,3.9674088403019,0.023572032532308,"MPHOSPH6",0.000281537678078102
