"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SCGB1D4","OK",NA,NA,-4.62456591916119e-05,"SCGB1D4",NA
"AP007216.2","OK",NA,NA,-0.000119215117899249,"AP007216.2",NA
"AP001189.6","OK",0.575439546125374,-0.190240204453199,-0.000655361680163019,"AP001189.6",0.606868101486812
"MIR4300HG","OK",0.527773108843981,-0.0696731885917623,-0.000237975641341394,"MIR4300HG",0.592612854312177
"HEPHL1","OK",3.62651215740854e-17,8.34283515022686,0.0207670637104358,"HEPHL1",7.21024299756579e-17
"ANGPTL5","OK",2.17146950139199e-05,4.0884346245856,0.0130045058383492,"ANGPTL5",3.28044874004644e-05
"APOA5","FAIL",NA,NA,NA,"APOA5",1
"AP001554.1","OK",0.525197848476048,-0.0632036942870012,-0.000218740855197116,"AP001554.1",0.592612854312177
"FXYD6-FXYD2","OK",0.529528955709778,-0.0740858321557217,-0.000292055768652588,"FXYD6-FXYD2",0.592612854312177
"AP001360.1","OK",0.537154089720662,-0.0932665309855839,-0.000318460964447546,"AP001360.1",0.592761077959173
"AP001360.2","FAIL",NA,NA,NA,"AP001360.2",1
"VSIG10L2","OK",0.562893313072835,-0.15830892733585,-0.000508784713864213,"VSIG10L2",0.600015180240957
"SPATA19","OK",NA,NA,-9.08427613197517e-05,"SPATA19",NA
"AP004550.1","FAIL",NA,NA,NA,"AP004550.1",1
"AP001999.1","OK",0.634685906464282,-0.34429002247831,-0.00114111725315362,"AP001999.1",0.649300175104149
"AKR1C4","OK",0.266664734256189,0.622931604209814,0.0016007030350208,"AKR1C4",0.325888052117604
"AL365356.3","FAIL",NA,NA,NA,"AL365356.3",1
"AL158210.1","OK",NA,NA,-9.93404716247313e-05,"AL158210.1",NA
"ITIH2","OK",0.511409993938304,-0.0286045137293966,-0.000133305450401976,"ITIH2",0.592612854312177
"MALRD1","OK",0.0204342962192477,2.04486070970425,0.00639177939238213,"MALRD1",0.0271211586592332
"AL590068.1","FAIL",NA,NA,NA,"AL590068.1",1
"GJD4","OK",0.528126097681639,-0.0705601781192145,-0.000242925046790739,"GJD4",0.592612854312177
"PCAT5","OK",0.56523909417653,-0.164265916795661,-0.00056094095322944,"PCAT5",0.601205906615656
"AL353801.1","FAIL",NA,NA,NA,"AL353801.1",1
"MSMB","OK",0.000355945482738153,3.38495819177535,0.00978148857204058,"MSMB",0.000513897078193215
"FO681492.1","OK",NA,NA,-9.77973876972611e-05,"FO681492.1",NA
"SLC18A3","OK",4.63496136466706e-13,7.1409334503257,0.0221067406620364,"SLC18A3",8.51615164516221e-13
"C10orf53","OK",0.524448839257448,-0.0613225635704414,-0.000207549972975945,"C10orf53",0.592612854312177
"NODAL","OK",3.09716580931553e-12,6.87510707123151,0.0207848437032048,"NODAL",5.58102874872949e-12
"OIT3","OK",2.65869839509568e-121,23.3906760950946,0.0739841432888574,"OIT3",1.11906783015864e-120
"AC063962.1","OK",NA,NA,-1.52379339306638e-08,"AC063962.1",NA
"NUTM2E","OK",0.523775414501215,-0.0596314480606414,-0.000235966473464385,"NUTM2E",0.592612854312177
"AL390786.1","OK",NA,NA,-8.05736370066968e-05,"AL390786.1",NA
"AL157400.3","FAIL",NA,NA,NA,"AL157400.3",1
"LGI1","FAIL",NA,NA,NA,"LGI1",1
"AL365273.2","FAIL",NA,NA,NA,"AL365273.2",1
"C10orf62","FAIL",NA,NA,NA,"C10orf62",1
"NKX2-3","OK",0.595935767271764,-0.242841138358329,-0.000804131080612619,"NKX2-3",0.619757962686104
"PITX3","OK",0.562617913205813,-0.157609936069597,-0.000545430758795688,"PITX3",0.59985711841931
"HABP2","OK",1.55726023785935e-11,6.64105203701195,0.0208580912957425,"HABP2",2.76438092188943e-11
"AL139121.1","FAIL",NA,NA,NA,"AL139121.1",1
"LINC01561","OK",0.0953111522422771,1.30874039193538,0.0039816602658644,"LINC01561",0.121056323348079
"AC009988.1","OK",NA,NA,-0.000108522126001971,"AC009988.1",NA
"ARMS2","OK",NA,NA,-0.000146076298157161,"ARMS2",NA
"FOXI2","OK",0.532318985650679,-0.0811004991931229,-0.00027286345166327,"FOXI2",0.592612854312177
"SYCE1","OK",0.224152997680802,0.758242211619373,0.00228530007358776,"SYCE1",0.275736040638472
"APOBEC1","OK",NA,NA,-7.61510209556069e-05,"APOBEC1",NA
"DPPA3","OK",NA,NA,-9.87513661456981e-05,"DPPA3",NA
"RERGL","OK",0,106.067150019283,0.334904844461961,"RERGL",0
"CAPZA3","FAIL",NA,NA,NA,"CAPZA3",1
"PDZRN4","OK",2.36140178188743e-111,22.3918765871572,0.0717404119905702,"PDZRN4",9.53963283241487e-111
"AC012038.2","FAIL",NA,NA,NA,"AC012038.2",1
"ANKRD33","OK",0.498869484545151,0.00283378579673879,-8.27024156034497e-05,"ANKRD33",0.590004372692064
"AC021072.1","FAIL",NA,NA,NA,"AC021072.1",1
"AC012531.1","OK",0.35058729239748,0.383735383008823,0.00109884445580659,"AC012531.1",0.422923789048318
"LINC02388","OK",9.89732181632453e-06,4.26719464957549,0.0125783702101608,"LINC02388",1.5101839416409e-05
"AC011611.2","OK",0.507866678265768,-0.01972011623012,-0.000128108429076229,"AC011611.2",0.592612854312177
"AC073591.1","OK",0.520750083371825,-0.0520362198155644,-0.000196488777938141,"AC073591.1",0.592612854312177
"AC138331.1","OK",0.000125427162236925,3.66138615777064,0.0111106486815465,"AC138331.1",0.000184149468646337
"AC027288.1","OK",0.507743318181914,-0.019410839163548,-0.000110667883280556,"AC027288.1",0.592612854312177
"AC073569.2","FAIL",NA,NA,NA,"AC073569.2",1
"MGAT4C","OK",0.580945354102586,-0.204312513586147,-0.000659708825747306,"MGAT4C",0.610022088648261
"LINC02412","FAIL",NA,NA,NA,"LINC02412",1
"NR1H4","OK",5.76808057039746e-65,16.9800632783801,0.054347966784429,"NR1H4",1.8379447980018e-64
"CASC18","OK",3.72577933275079e-15,7.77657300910758,0.0216852709453414,"CASC18",7.14431762414546e-15
"MYO1H","OK",0.533351132986875,-0.0836965074858922,-0.000304591399029315,"MYO1H",0.592612854312177
"CCDC63","OK",0.527775069178714,-0.0696781143642969,-0.000209951862678193,"CCDC63",0.592612854312177
"AC079949.2","OK",0.637183828885766,-0.350941359185251,-0.00117554561822022,"AC079949.2",0.651267533203059
"AC063926.1","OK",0.517174995760348,-0.0430646373011789,-0.00011255874555029,"AC063926.1",0.592612854312177
"LINC02415","OK",0.55299610045552,-0.133234661752285,-0.000489230158956687,"LINC02415",0.595747909827443
"LINC02370","OK",0.515576467959107,-0.0390543406178804,-0.000156849801999066,"LINC02370",0.592612854312177
"MAB21L1","OK",0.00313333529449275,2.73349168352704,0.00837533049829614,"MAB21L1",0.00435302858918119
"SOHLH2","OK",0.583970214290282,-0.212060838220532,-0.000708533930771863,"SOHLH2",0.611958931260872
"FREM2","OK",0.00852787309459279,2.38550379967293,0.00738369940710735,"FREM2",0.0115831168254982
"CPB2","OK",NA,NA,-7.79998163983052e-05,"CPB2",NA
"HTR2A","OK",1.64127046880079e-89,20.0257916145144,0.0622847956966869,"HTR2A",6.0241952250278e-89
"LINC00462","OK",0.548408294428326,-0.121640911776822,-0.000408508917645919,"LINC00462",0.594480991503461
"LINC00434","OK",NA,NA,-0.000122692390820976,"LINC00434",NA
"FGF14","OK",0.0430911935544343,1.71588885409413,0.00519607952306212,"FGF14",0.0560432850864527
"METTL21C","OK",0,43.3693990920244,0.131313767992402,"METTL21C",0
"AL162574.1","OK",0.520370329747913,-0.0510830525020477,-0.000198350094358943,"AL162574.1",0.592612854312177
"LINC01297","OK",NA,NA,-8.98583750882165e-05,"LINC01297",NA
"RNASE10","FAIL",NA,NA,NA,"RNASE10",1
"EDDM3B","FAIL",NA,NA,NA,"EDDM3B",1
"AL355922.5","OK",0.516390026872348,-0.041095268943653,-0.00018588641465908,"AL355922.5",0.592612854312177
"SLC39A2","OK",0.607105510617654,-0.271782868183686,-0.00086458923416558,"SLC39A2",0.627792844076153
"LINC02327","OK",0.200366900201229,0.840311419319232,0.00191095834689587,"LINC02327",0.247551326536027
"AL162311.1","OK",0.514363433356004,-0.0360115701569566,-0.000148994277074158,"AL162311.1",0.592612854312177
"AL049875.1","OK",NA,NA,-8.34668805713393e-05,"AL049875.1",NA
"AL352977.1","FAIL",NA,NA,NA,"AL352977.1",1
"AL352977.2","FAIL",NA,NA,NA,"AL352977.2",1
"AL121821.1","OK",0.0341028191658105,1.823645796152,0.00559300240612666,"AL121821.1",0.0446780670209671
"LRFN5","OK",0.00147982942170998,2.9718970749504,0.00931203034131244,"LRFN5",0.00208398324680144
"LINC02302","OK",0.534753962439694,-0.0872257458446712,-0.000310422262488094,"LINC02302",0.592612854312177
"LINC02319","OK",0.000382760199323889,3.36496979134325,0.0104003190232962,"LINC02319",0.000551712520837721
"AL139316.1","OK",0.515303765848644,-0.0383702653838569,-0.000159549713178556,"AL139316.1",0.592612854312177
"TOMM20L","OK",0.588321223187172,-0.223228651758045,-0.000715005020760355,"TOMM20L",0.614318213233794
"LINC02322","OK",NA,NA,-9.93986350360168e-05,"LINC02322",NA
"HIF1A-AS1","OK",0.568033709705117,-0.17137033291129,-0.000598499571414421,"HIF1A-AS1",0.60253034051522
"AL391261.2","OK",0.538652554709332,-0.0970396705121363,-0.000313475912037388,"AL391261.2",0.593175507241572
"CCDC196","OK",0.564133583246987,-0.161457815794536,-0.000556628445347272,"CCDC196",0.600473985583249
"AL049779.1","FAIL",NA,NA,NA,"AL049779.1",1
"LINC02274","OK",0.546118974166908,-0.11586182430547,-0.00037219657561497,"LINC02274",0.593914660941605
"AC013451.1","OK",NA,NA,-8.47133357965119e-05,"AC013451.1",NA
"AL691403.1","OK",NA,NA,-0.000112062559638011,"AL691403.1",NA
"LINC02308","OK",2.73773737049906e-05,4.03434530918389,0.0126325156387817,"LINC02308",4.12430214941178e-05
"AL137785.1","OK",0.584368399990729,-0.213081748901678,-0.000692134490823683,"AL137785.1",0.612216523100932
"LINC02321","FAIL",NA,NA,NA,"LINC02321",1
"AL133153.2","OK",NA,NA,-9.7780601062122e-05,"AL133153.2",NA
"SERPINA6","FAIL",NA,NA,NA,"SERPINA6",1
"SERPINA4","OK",1.12008778157717e-07,5.17821618050682,0.0160009058025012,"SERPINA4",1.81112830080108e-07
"LINC02279","OK",9.47685005688569e-16,7.94800631043598,0.0184364567407299,"LINC02279",1.83760961500494e-15
"LINC02318","OK",NA,NA,-6.38367395323679e-05,"LINC02318",NA
"BDKRB1","OK",4.02312267064787e-41,13.3787750935246,0.0427127991159985,"BDKRB1",1.06688609392096e-40
"AL132801.1","FAIL",NA,NA,NA,"AL132801.1",1
"AC247036.1","OK",0.514110763222873,-0.035377816438751,-0.000167205372572776,"AC247036.1",0.592612854312177
"AC012414.3","FAIL",NA,NA,NA,"AC012414.3",1
"GOLGA6L7","OK",0.509729276508633,-0.0243900975565819,-0.00014381126425586,"GOLGA6L7",0.592612854312177
"TRPM1","OK",0.654167462577256,-0.39659644454224,-0.00129932660262982,"TRPM1",0.665823371148831
"AC113146.2","OK",0.0436346060091869,1.70998194381323,0.0048949932320455,"AC113146.2",0.056735559828191
"C15orf54","FAIL",NA,NA,NA,"C15orf54",1
"AC013652.2","OK",0.53401517614493,-0.0853669746423557,-0.000305614377517792,"AC013652.2",0.592612854312177
"PLA2G4E","OK",NA,NA,-6.67139461238359e-05,"PLA2G4E",NA
"PLA2G4D","OK",0.514641392234733,-0.0367087704743852,-0.00017074029527819,"PLA2G4D",0.592612854312177
"TGM7","OK",3.51380232967509e-05,3.97534925556587,0.0120404668297375,"TGM7",5.26579739190654e-05
"DUOXA2","OK",0.52631964900365,-0.066021507887264,-0.000185909075718973,"DUOXA2",0.592612854312177
"SLC12A1","OK",NA,NA,-8.21612852653614e-05,"SLC12A1",NA
"AC007950.1","FAIL",NA,NA,NA,"AC007950.1",1
"SLC51B","OK",0.545452096194518,-0.114179114784916,-0.000408157847571812,"SLC51B",0.593691821903645
"AC009292.1","OK",NA,NA,-9.04811876076988e-05,"AC009292.1",NA
"LINC02204","OK",NA,NA,-0.00011663717609012,"LINC02204",NA
"C15orf59-AS1","OK",0.540668178057203,-0.102117206137696,-0.000371132049427452,"C15orf59-AS1",0.593175507241572
"CHRNA3","OK",0.595085822926217,-0.240647471585898,-0.000803676640659365,"CHRNA3",0.619093262946166
"ACAN","OK",6.96335053740445e-67,17.2373539417843,0.0529748323073933,"ACAN",2.24867153617243e-66
"AC027013.1","OK",1.29004641180504e-05,4.20767701211202,0.0129479823714622,"AC027013.1",1.9618133091678e-05
"LINC02253","OK",3.71745474926535e-25,10.2948321940231,0.0324468383338383,"LINC02253",8.27665149533925e-25
"FAM169B","FAIL",NA,NA,NA,"FAM169B",1
"AC036108.4","OK",0.547280571395575,-0.118793627807485,-0.000377553078286785,"AC036108.4",0.594349381854828
"AC090164.4","OK",NA,NA,-7.61510209556069e-05,"AC090164.4",NA
"HBM","OK",0.541802109775407,-0.104974830819887,-0.000356862227354999,"HBM",0.59320146164769
"AC120498.8","OK",0.493279893254327,0.0168456062687727,-3.49128643778382e-05,"AC120498.8",0.584138950301115
"TPSB2","OK",0.252452601745935,0.666791686903718,0.00192519989096507,"TPSB2",0.309130893923673
"TPSAB1","OK",NA,NA,-7.65457216668137e-05,"TPSAB1",NA
"TMEM114","OK",0.55999626841863,-0.150959754613252,-0.000513624249617565,"TMEM114",0.598725391785975
"PDZD9","FAIL",NA,NA,NA,"PDZD9",1
"LINC01567","OK",NA,NA,-7.79024584290326e-05,"LINC01567",NA
"AC009093.5","OK",NA,NA,-0.000129682955043686,"AC009093.5",NA
"AC137761.1","OK",NA,NA,-9.81339948331468e-05,"AC137761.1",NA
"LINC02167","OK",0.542881936407753,-0.107696901851676,-0.000381321445625388,"LINC02167",0.593240143336557
"ABCC12","OK",0.183003936723804,0.903976479331858,0.00277955704427994,"ABCC12",0.226993448184936
"CBLN1","OK",1.07918040429199e-12,7.02385028741743,0.0222819344888008,"CBLN1",1.96708312341138e-12
"SALL1","OK",0.66940296840473,-0.438265181163408,-0.00141937565879474,"SALL1",0.678924490708592
