	log2FoldChange	fdr
NMI	-1.62382661881547	1
DYNLT1	-1.62306710574666	1
LENG8	-1.62078616449542	1
ST8SIA4	-1.6162134347056	1
ABHD17A	-1.6139216231976	1
GBP1	-1.6139216231976	1
BRK1	-1.61162616520995	1
TRAPPC1	-1.61162616520995	1
TMED4	-1.61162616520995	1
FNBP4	-1.61162616520995	1
CWC15	-1.60855986216216	1
ILF3	-1.60702426325093	1
MIEN1	-1.60702426325093	1
ZAP70	-1.60240763518057	1
HSPB11	-1.59312982159255	1
TOX	-1.59312982159255	1
CCNDBP1	-1.59002391072473	1
CFDP1	-1.58846844422269	1
BCL11B	-1.5869112988574	1
SIRT7	-1.58379195701322	1
DEK	-1.58222975324293	1
PPCS	-1.5791002616885	1
METTL8	-1.5791002616885	1
METTL9	-1.56967084876857	1
SUZ12	-1.56967084876857	1
ACAP1	-1.5649329297619	1
TMEM167A	-1.5649329297619	1
CCDC91	-1.56017939979127	1
MRPL20	-1.55779674848028	1
ZMYM2	-1.55062509307802	1
ARRDC3	-1.55062509307802	1
RAP1A	-1.5482265970295	1
PPP1R35	-1.5458241068142	1
JPT1	-1.54389922988971	1
RHOA	-1.5434176091071	1
NT5C	-1.54100709051642	1
SURF4	-1.53617393678048	1
ALOX5AP	-1.53548216259274	1
SUMO1	-1.52889371086432	1
ISG15	-1.52798109404471	1
RNMT	-1.52645878194727	1
PSMD14	-1.52645878194727	1
TSTA3	-1.52645878194727	1
PSMB10	-1.52157656056752	1
NDUFB3	-1.51912924014878	1
RALGDS	-1.51667776115468	1
DSTN	-1.51667776115468	1
CYFIP2	-1.51176227074057	1
SMS	-1.51176227074057	1
RBM17	-1.50682997519833	1
RALA	-1.50682997519833	1
ZNF207	-1.50353238509776	1
HLA-F	-1.50311965585996	1
HOXB2	-1.5018807592266	1
RARRES3	-1.49872239509225	1
GIMAP2	-1.49691450633325	1
COMMD8	-1.49691450633325	1
GBP2	-1.4894329249638	1
EIF4E2	-1.48693041776063	1
CD74	-1.4837961670365	1
STOML2	-1.481912342994	1
PKN1	-1.481912342994	1
BBX	-1.481912342994	1
SDF2	-1.47687675309671	1
ANXA6	-1.47435235168116	1
RABGAP1L	-1.47350990199831	1
UQCR11	-1.47238586996569	1
CNPY3	-1.47182352537042	1
TYMP	-1.4706548780478	1
COTL1	-1.46859859498837	1
TNFSF14	-1.466752535823	1
SLC25A3	-1.46505823728312	1
ISCA2	-1.4616636591502	1
C12orf75	-1.4616636591502	1
TMEM259	-1.45655676871711	1
SSBP1	-1.45450894006825	1
TMED9	-1.45314210430435	1
ANAPC5	-1.45143173653924	1
NDUFA11	-1.44834795544158	1
ACP1	-1.44628843326328	1
PLK3	-1.44628843326328	1
CLNS1A	-1.44284934929651	1
COMMD6	-1.44112672814751	1
VDAC1	-1.44112672814751	1
ITPA	-1.44112672814751	1
DGKZ	-1.43940204767804	1
SNX17	-1.43594648904182	1
H2AFJ	-1.43594648904182	1
SNRPB2	-1.43178886356817	1
HIF1A	-1.42552987309649	1
PSMC3	-1.42029322473034	1
ST8SIA1	-1.42029322473034	1
HEBP2	-1.41503749927884	1
ITGAL	-1.41240243911087	1
EIF5B	-1.41240243911087	1
UBA2	-1.40976255723817	1
TMEM173	-1.40799994853891	1
CAPZB	-1.40598289817065	1
TESPA1	-1.40446825756866	1
TRIP12	-1.39915445767219	1
OGFR	-1.39915445767219	1
SUPT16H	-1.39915445767219	1
PFDN2	-1.39649020014513	1
CYC1	-1.39382101336915	1
TIPRL	-1.39382101336915	1
PMVK	-1.39382101336915	1
POLE4	-1.39382101336915	1
USMG5	-1.39248456580633	1
UBXN1	-1.38954001604127	1
TSG101	-1.38846777887494	1
B3GAT3	-1.38846777887494	1
FUBP1	-1.38846777887494	1
NEMF	-1.38846777887494	1
CXCR3	-1.38739474420972	1
MGMT	-1.38309460677609	1
PPP4R3A	-1.38309460677609	1
FAM104A	-1.38309460677609	1
WAPL	-1.38309460677609	1
PFDN4	-1.38309460677609	1
TRANK1	-1.38309460677609	1
TBCB	-1.38040049760683	1
ZNF706	-1.37878161390501	1
NAP1L1	-1.37770134800587	1
MAF1	-1.37770134800587	1
GSPT1	-1.37770134800587	1
SSR1	-1.37228785181951	1
NDUFS3	-1.37228785181951	1
KDM2A	-1.37228785181951	1
POLR2E	-1.37228785181951	1
AC058791.1	-1.37228785181951	1
TAF7	-1.36685396576888	1
DMAC1	-1.36685396576888	1
EIF4A3	-1.36139953567677	1
NUDT21	-1.36139953567677	1
NFATC3	-1.36139953567677	1
PSMD1	-1.36139953567677	1
CTSS	-1.35866456795553	1
IFI27L2	-1.35866456795553	1
HNRNPH1	-1.35775175866163	1
RUNX3	-1.35775175866163	1
NDUFA2	-1.35592440561062	1
SLC25A11	-1.35592440561062	1
ZBED2	-1.35592440561062	1
RNF213	-1.35465795779771	1
PPP1CC	-1.3531790288718	1
LMAN2	-1.35042841785577	1
MOB4	-1.35042841785577	1
PLGRKT	-1.3449114128882	1
SNRNP200	-1.3449114128882	1
FXYD5	-1.33937322934677	1
PSIP1	-1.33937322934677	1
TAF12	-1.33937322934677	1
PDE3B	-1.33937322934677	1
CNOT2	-1.33381370400487	1
PARP10	-1.33381370400487	1
ACTG1	-1.33127954730044	1
GUK1	-1.32823267174157	1
RSF1	-1.32823267174157	1
AC245297.3	-1.32823267174157	1
ATF7IP2	-1.32823267174157	1
ELF1	-1.3237522487589	1
RAB10	-1.31700541631832	1
TXNL4A	-1.31700541631832	1
MORF4L1	-1.31512568310009	1
JTB	-1.31474944237795	1
PPP2R5C	-1.31135885317718	1
C19orf25	-1.31135885317718	1
ADD1	-1.31135885317718	1
BRD9	-1.31135885317718	1
ARHGEF1	-1.30852726239401	1
C19orf66	-1.30569010309048	1
FAM103A1	-1.30569010309048	1
ARF3	-1.30569010309048	1
PPM1M	-1.30569010309048	1
ATOX1	-1.30569010309048	1
SRSF10	-1.30284735332166	1
NUMA1	-1.29999899101263	1
NRDC	-1.29999899101263	1
PHACTR2	-1.29809695376825	1
SNX3	-1.29714499395747	1
ENSA	-1.29428533981823	1
DHPS	-1.29428533981823	1
DDHD1	-1.29428533981823	1
PSMA5	-1.29046362886582	1
RAN	-1.28918747217855	1
ZBTB38	-1.28854897026909	1
RSRC1	-1.2827897009804	1
CNIH4	-1.2827897009804	1
HUWE1	-1.2827897009804	1
SLC9A9	-1.2827897009804	1
UCP2	-1.28113996376131	1
TRIM38	-1.2789373754848	1
SPCS3	-1.2770073483864	1
SQSTM1	-1.2770073483864	1
ZCCHC2	-1.2770073483864	1
CCT8	-1.2741074578806	1
SRSF8	-1.27120172670519	1
CCDC88C	-1.27120172670519	1
ITGB1BP1	-1.27120172670519	1
PSMB8	-1.26802514918501	1
CEBPB	-1.26654034933533	1
IFI44L	-1.26634579805179	1
CAND1	-1.265372647903	1
SUMF2	-1.265372647903	1
NR4A2	-1.265372647903	1
COX6A1	-1.26391169077472	1
RPA2	-1.25951992165756	1
LSM1	-1.25951992165756	1
UBE2S	-1.25951992165756	1
AKR1A1	-1.25951992165756	1
PDE4D	-1.25951992165756	1
TPST2	-1.25951992165756	1
BRI3	-1.25364335532089	1
TTC3	-1.25364335532089	1
ANXA5	-1.24971230373097	1
TOMM22	-1.2477427538812	1
SRRM1	-1.2457705115496	1
XRCC6	-1.2418179199241	1
NENF	-1.2418179199241	1
HPCAL1	-1.2418179199241	1
RBPJ	-1.24044718819068	1
C1D	-1.23586865359291	1
CDC40	-1.23586865359291	1
SUB1	-1.23122442549115	1
DDT	-1.22989475254828	1
CHMP3	-1.22989475254828	1
ST3GAL5	-1.22989475254828	1
CBX5	-1.22989475254828	1
OSTF1	-1.22689850008836	1
HLA-DRB1	-1.2244683963981	1
ZRANB2	-1.22389601192684	1
STXBP3	-1.22389601192684	1
C16orf87	-1.22389601192684	1
TAB2	-1.22389601192684	1
HLA-DPA1	-1.22204521623889	1
SRP14	-1.22177284003386	1
CD2	-1.22028475837446	1
AP2M1	-1.21787222429906	1
OS9	-1.21787222429906	1
SPAG7	-1.21787222429906	1
NCK1	-1.21787222429906	1
FUT8	-1.21787222429906	1
RPLP0	-1.21538451207132	1
CARD16	-1.21485087232383	1
FAM107B	-1.21182317962626	1
SERINC1	-1.21182317962626	1
PTGES3	-1.2100902124018	1
ALDOA	-1.20961722347645	1
RWDD1	-1.20574866521658	1
MRPL13	-1.20574866521658	1
SZRD1	-1.20574866521658	1
NFAT5	-1.20574866521658	1
XRCC5	-1.2037181299892	1
ACTR2	-1.2037181299892	1
TXNDC17	-1.20270178965771	1
ICOS	-1.20209164160849	1
TALDO1	-1.19964846568016	1
DCAF7	-1.19964846568016	1
BCAS2	-1.19964846568016	1
GLOD4	-1.19964846568016	1
ADSS	-1.19964846568016	1
TAF9	-1.19964846568016	1
UQCRB	-1.19588163575724	1
PHB	-1.19556728886834	1
UBE2Z	-1.19352236288332	1
YAF2	-1.19352236288332	1
IER3IP1	-1.19352236288332	1
DCP2	-1.19352236288332	1
ACAP2	-1.19352236288332	1
EHD1	-1.19352236288332	1
PRDX1	-1.19147453423446	1
CD47	-1.19044952883369	1
SERBP1	-1.1889106539775	1
COA4	-1.18737013590172	1
PDCD2	-1.18737013590172	1
ETNK1	-1.18737013590172	1
S100PBP	-1.18737013590172	1
SMC3	-1.1811915609726	1
ARL6IP1	-1.1811915609726	1
RTF1	-1.1811915609726	1
TBCC	-1.1811915609726	1
TM9SF3	-1.1811915609726	1
MRPL27	-1.1811915609726	1
RPL36A	-1.18071518816296	1
RNF7	-1.17747167483549	1
PARK7	-1.17622957829652	1
TNFAIP3	-1.17498641144589	1
KIAA0319L	-1.17498641144589	1
PET100	-1.17083476817542	1
S100A11	-1.16964638669069	1
PYHIN1	-1.16875445773437	1
HNRNPLL	-1.16875445773437	1
MRPL47	-1.16875445773437	1
SELPLG	-1.16249546726269	1
ANXA11	-1.16249546726269	1
KLF13	-1.16249546726269	1
TAP1	-1.15778333991337	1
CACYBP	-1.15620920441526	1
MAX	-1.15620920441526	1
PFKP	-1.15620920441526	1
TMEM140	-1.15620920441526	1
CCDC12	-1.14989543048306	1
SUPT5H	-1.14989543048306	1
DDX27	-1.14989543048306	1
TLE3	-1.14989543048306	1
CLDND1	-1.14989543048306	1
ANAPC16	-1.14831266012037	1
ZNF24	-1.14355390360923	1
SEL1L3	-1.14355390360923	1
ABRACL	-1.14143385173486	1
COA3	-1.1371843787335	1
FOXO1	-1.1371843787335	1
TSTD1	-1.13505493917216	1
ATP5C1	-1.13505493917216	1
